"Designation","Discovery Date (YYYY-MM-DD)","H (mag)","MOID (au)","q (au)","Q (au)","period (yr)","i (deg)","PHA","Orbit Class"
"(2010 GQ75)","2010-04-12","20.2","0.599","0.33","4.54","3.79","43.21","N","Apollo"
"(2010 GP67)","2010-04-11","22.5","0.017","0.99","1.23","1.18","13.27","N","Apollo"
"(2010 GH65)","2010-04-10","18.8","0.146","1.05","4.36","4.45","21.05","N","Amor"
"(2010 GW62)","2010-04-09","19.5","0.441","0.54","2","1.43","32.43","N","Apollo"
"(2010 GK23)","2010-04-05","19.7","0.097","0.87","4.53","4.44","34.89","N","Apollo"
"(2010 GF25)","2010-04-02","19.1","0.399","0.37","2.47","1.7","38.48","N","Apollo"
"458135 (2010 GE25)","2010-04-01","20.2","0.22","1.1","3.04","2.97","21.65","N","Amor"
"(2010 FJ81)","2010-03-31","20.7","0.129","1.14","6.07","6.84","42.46","N","Amor"
"510055 (2010 FH81)","2010-03-30","21.6","0.035","0.97","1.48","1.36","16.79","Y","Apollo"
"(2010 FC81)","2010-03-30","21.8","0.026","1.01","4.35","4.38","1.68","Y","Apollo"
"(2010 FB81)","2010-03-30","21.4","0.097","1.02","4.14","4.14","9.48","N","Amor"
"(2010 FA81)","2010-03-29","22.3","0.034","1.01","1.38","1.31","15.48","N","Apollo"
"C/2010 FB87 (WISE-Garradd)","2010-03-28","n/a","2.538","2.84","595.66","5176.82","107.63","n/a","Comet"
"(2010 FZ80)","2010-03-28","20.3","0.3","0.7","4.8","4.55","27.37","N","Apollo"
"(2010 FY80)","2010-03-28","19.7","0.139","1.04","4.35","4.42","18.81","N","Amor"
"(2010 FX80)","2010-03-27","20.6","0.534","1.18","3.15","3.19","36.96","N","Amor"
"(2010 FG81)","2010-03-26","23.3","0.019","1.01","2.31","2.14","7.97","N","Apollo"
"(2010 EX119)","2010-03-13","19.3","0.16","0.77","3.04","2.63","15.57","N","Apollo"
"(2010 EN44)","2010-03-12","24.3","0.023","0.96","1.33","1.22","10.18","N","Apollo"
"414746 (2010 EH20)","2010-03-06","18","0.271","1.25","3.99","4.25","23.85","N","Amor"
"C/2010 E3 (WISE)","2010-03-05","n/a","1.546","2.27","n/a","n/a","96.48","n/a","Parabolic Comet"
"(2010 EX11)","2010-03-03","24.1","0.028","0.85","1.06","0.93","9.75","N","Aten"
"C/2010 D4 (WISE)","2010-02-28","n/a","6.373","7.15","122.19","520.06","105.66","n/a","Comet"
